config_id,symbol,direction,horizon,down_delta,up_delta,asymmetry_ratio,train_pos_rate,test_pos_rate,train_n,test_n,test_n_pos,reliable,train_roc_auc,val_roc_auc,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_f1,elapsed_s,error
QQQ_dn_h60_dd0.0020_ud0.0010,QQQ,down,60,0.002,0.001,2.0,0.22681822908400331,0.19230300815978565,203022,8211,1579,True,0.9316927960098932,0.9084821957033304,0.5212632287005793,0.19483183032147416,0.5994397759103641,0.21095334685598377,0.39518682710576314,0.27507163323782235,4.4,
QQQ_dn_h60_dd0.0040_ud0.0020,QQQ,down,60,0.004,0.002,2.0,0.1591460110880642,0.12142248203629277,203022,8211,997,True,0.9718717281525207,0.9590782909614012,0.5844625642939353,0.17193499018394381,0.7929606625258799,0.208298755186722,0.25175526579739216,0.22797456857402362,4.2,
QQQ_dn_h60_dd0.0060_ud0.0030,QQQ,down,60,0.006,0.003,2.0,0.09722579479966506,0.05431737912556327,203022,8211,446,True,0.9908366421191048,0.9824532716495424,0.6628429280518828,0.08953974081859402,0.8976982097186701,0.04186046511627907,0.04035874439461883,0.0410958904109589,4.2,
QQQ_dn_h60_dd0.0080_ud0.0040,QQQ,down,60,0.008,0.004,2.0,0.058713105916735536,0.027158689562781634,203022,8211,223,True,0.9973184126342807,0.9928735943639073,0.7051232678614333,0.10597729642123202,0.9423943490439655,0.16216216216216217,0.26905829596412556,0.20236087689713322,4.2,
QQQ_dn_h60_dd0.0100_ud0.0050,QQQ,down,60,0.01,0.005,2.0,0.039322675802735345,0.021800024357569114,203022,8211,179,True,0.9991902648642382,0.9970512186242755,0.7373543535355784,0.3619685700281132,0.9842893679210815,0.9166666666666666,0.30726256983240224,0.4602510460251046,4.3,
QQQ_dn_h60_dd0.0120_ud0.0060,QQQ,down,60,0.012,0.006,2.0,0.026642002200099605,0.017781025453659723,203022,8211,146,True,0.9997705556774009,0.9980931074193423,0.8408835743827973,0.4644562126763732,0.980026793326026,0.43661971830985913,0.4246575342465753,0.4305555555555556,4.4,
QQQ_dn_h60_dd0.0150_ud0.0075,QQQ,down,60,0.015,0.0075,2.0,0.015318603976597945,0.007916209962245768,203022,8211,65,True,0.9999746910261891,0.9971316874923645,0.9542559821715236,0.7103587072713093,0.9948849104859335,0.7674418604651163,0.5076923076923077,0.6111111111111112,4.4,
